
cleanerthanrotomw,Deal with it
pinsah02,Anime tras anime every day
dabicboi,stalking himself
badgirldridri,dat princess
flicette,stalking jd
jd,stalking felicette
chakra,All falls down eventually 
davidj,OP Spanish boy
toxc,3
shedinjanigans,Stall is love stall is life
koikazma,Drop your pants and sneeze
dalag,Haters Are My Motivators 
maryse,French 
kafkablack,nonstopgeh
nonstopkevn,Im totally not AFK
giantsdms,Can NEVER see you there 
larlardash,being adorable  24 seven
quilavaa,quil is quil
picopie,Iaposll Pico Pico Pii your heart
auralshock,Ma vattelo a pigliare in culo
feeboss,You are a cute idiot
frstythenowman,I am the ice in the blizzard
inkyfeather,o3o
blckrbbt,i like cats
xvenomiizz,going elbow deep
assaultvestmantine,Bagpipes are overrated
ralphonso,Rediculously Overpriced
assaultvesttangela,bored
yallthirsty,Si si today estas
hashtagarmcannons,I AM THE HYPE
madasthehatter,Stay Frosty
absolutemaximum,swag
dataplan,Shitposting since 1999
legitbutton,niggez stole my bike
korps,I am no one
giegue,STOUT SHAKO FOR 2 REFINED
cocoa808,stalking kafka
silverkill,LEEDLE LEEDLE LEEDLE LEE
connorthegoodra,Eat a dick
presidentyellow,I cannot mlg math gud
iglacky,dicks
catfishbottlemen,Fuck it if they talk
the1975tho,and this is how it starts
sornmarkov,The Nazi Major
lizbith,nonstop dyke
okguy,tacosaur
tacosaur,okguy
azureshock,Im a god hi im gosu
catpussy,tacosaur IRL 
prfssrstein,Eat shit Kill shit Do shit
01aceking,Works on Frost and Infinite
franchescoenzo,Chakra is shit irl
aknolan,finding me is impossible
buttofthetitantank,greates person in history
twamble,Currently a coding loser
sbet777,gr8 b8 m8 i r8 8 out of 8
hont,The Truth
dedction,Dedicated about fuckin ur mum
antivohlt20,Vohlt
volcun,something
bawsah,Snatchin up Peach real quick
megaglalie,loving Mega Glalie
duckhuntconn,Im Da Cunt Irl
mllon,Being Millions
lichbith,nonstop raging lesbianity
jbro63pt9,Da youtubes
thatguydarkpit,ELECTROSHOCK BITCH
anglwllow,Girls 
jexor,Yo soy un mierdito
